3.442794771213196769e-01 8.089752969593221321e-01 9.169215363487143167e-02 8.541557038755500653e-01 9.533965847469055843e-01
4.054284809436922710e-01 8.069809758521493404e-01 9.222782102579879515e-02 5.200809236634751365e-01 1.092073282203495310e+00
2.787334859855793434e-01 7.802044877476161933e-01 4.490077365784754526e-02 7.105094997540472024e-01 9.837390030701992361e-01
3.681258800371537410e-01 8.056067641484495612e-01 7.740485933915283723e-02 6.202280845134227061e-01 1.032888131628852513e+00
2.502683277675574192e-01 7.894805188191753587e-01 1.224467912121579571e-03 5.682683276969626718e-01 9.733852016985802269e-01
2.711294270696124054e-01 7.938831620786410692e-01 6.204569377252832502e-02 8.405222238995826434e-01 9.352005312704102513e-01
3.263074954707797515e-01 8.034028510947690549e-01 8.876508952787412476e-02 8.396652787542736585e-01 9.659164862148007513e-01
2.957869379103743035e-01 7.991388834622737969e-01 3.150112682857580254e-02 7.512245318031424146e-01 8.866422903975589298e-01
3.070654875514116089e-01 8.070486059923519528e-01 2.033801883446609282e-02 4.898161843552233385e-01 9.981455581600354732e-01
2.698666014405062263e-01 7.980299674937962884e-01 5.222497289703337264e-02 6.714208667716577983e-01 9.945249208974713540e-01
2.326778423177548460e-01 8.014464307049971037e-01 6.981829398445524304e-02 9.511602186802525782e-01 9.153878707649781843e-01
3.060967692196464029e-01 8.084219332162112526e-01 3.116364421489772191e-02 7.242583949725097670e-01 9.009612292954701784e-01
3.342418927667040185e-01 8.039791578279610329e-01 7.698753553074667855e-02 8.672669554057876873e-01 9.220346009484388095e-01
2.602777553686901335e-01 7.868674745965464901e-01 6.384436325189854489e-02 9.008780933077272790e-01 9.149541605972509872e-01
3.207704337904458969e-01 8.114251220254552477e-01 4.690489450970493357e-02 7.046634226759610486e-01 9.446930408167026894e-01
3.745571868419841355e-01 8.141636683949091680e-01 5.432700506153360920e-02 6.869956651444563134e-01 9.354676182364358716e-01
3.108381519431704376e-01 7.994775955592533512e-01 8.968844456611815841e-02 7.448270055552722591e-01 1.029329361497997031e+00
3.339692528208948463e-01 8.091309904769699024e-01 2.459894778754541725e-02 4.037614822643140200e-01 1.029850058839537397e+00
2.545713430539774391e-01 7.916423506990940551e-01 4.191469285644900539e-02 7.834270662567408561e-01 9.265236710404545217e-01
3.019624863285041982e-01 7.985421970036865602e-01 3.810579521092232608e-02 6.248107340645434604e-01 9.561948905858695946e-01
2.393493913303491594e-01 7.897450979042895947e-01 3.396179982223285904e-02 7.909104750982904886e-01 9.241386041630529347e-01
2.881868086809447616e-01 7.921086220447803861e-01 7.665817413333558816e-02 8.949859850482062562e-01 9.375697022748851195e-01
3.375814254115557800e-01 8.023964840040442859e-01 2.837612465086979813e-02 4.061483530562565170e-01 1.044766277533565546e+00
